timestamp,visitorid,event,itemid,transactionid
2015-06-02 05:17:56.276,599528,transaction,356475,4000.0
2015-06-01 21:18:20.981,121688,transaction,15335,11117.0
2015-06-01 21:25:15.008,552148,transaction,81345,5444.0
2015-06-01 16:38:56.375,102019,transaction,150318,13556.0
2015-06-01 16:01:58.180,189384,transaction,310791,7244.0
2015-06-01 18:44:21.340,350566,transaction,54058,8796.0
2015-06-01 18:44:21.371,350566,transaction,284871,8796.0
2015-06-01 18:19:32.710,404403,transaction,150100,5216.0
2015-06-01 13:11:15.232,505565,transaction,243566,11713.0
2015-06-01 17:40:03.455,945184,transaction,245400,2415.0
2015-06-01 16:56:48.042,1406787,transaction,336832,15915.0
2015-06-01 17:29:28.674,820159,transaction,202052,14924.0
2015-06-01 23:41:36.802,319880,transaction,7943,11615.0
2015-06-01 23:01:58.976,608628,transaction,185598,11956.0
2015-06-02 02:31:26.455,956011,transaction,338308,3051.0
2015-06-02 01:29:18.795,1318394,transaction,318333,11413.0
2015-06-02 01:29:47.406,61806,transaction,68242,1343.0
2015-06-02 01:42:48.340,1331125,transaction,185896,11138.0
2015-06-02 02:18:38.562,911093,transaction,277119,1798.0
2015-06-02 02:18:38.578,911093,transaction,251130,1798.0
2015-06-01 07:18:48.864,157419,transaction,63769,16605.0
2015-06-01 07:18:48.880,157419,transaction,135703,16605.0
2015-06-01 10:24:31.395,1166562,transaction,103311,16717.0
2015-06-01 22:04:21.122,464138,transaction,428257,16951.0
2015-06-01 22:04:32.991,273406,transaction,256146,8900.0
2015-06-02 03:40:59.038,1233140,transaction,167827,15894.0
2015-06-02 03:40:59.038,1233140,transaction,387504,15894.0
2015-06-02 01:06:42.981,813069,transaction,201598,11179.0
2015-06-02 01:08:18.898,504901,transaction,367664,8467.0
2015-06-02 00:32:41.452,1041255,transaction,10034,17128.0
2015-06-02 00:53:39.951,328126,transaction,159822,14179.0
2015-06-01 19:34:43.751,404403,transaction,50934,7686.0
2015-06-01 18:57:33.966,497826,transaction,380493,14914.0
2015-06-01 18:47:18.292,666960,transaction,89977,17118.0
2015-06-01 19:04:27.024,1161163,transaction,383396,118.0
2015-06-02 02:49:14.800,1281446,transaction,55925,6155.0
2015-06-01 20:52:23.403,217773,transaction,308648,1482.0
2015-06-01 21:18:19.698,121688,transaction,380775,11117.0
2015-06-02 05:13:47.775,1043433,transaction,181045,9766.0
2015-06-01 16:30:53.107,1242777,transaction,430292,17312.0
2015-06-01 16:01:58.180,189384,transaction,299044,7244.0
2015-06-01 11:55:11.054,826010,transaction,138356,16490.0
2015-06-01 18:28:13.418,286616,transaction,183087,8906.0
2015-06-01 18:40:55.367,1192199,transaction,461765,8010.0
2015-06-01 18:40:18.826,1235292,transaction,221963,1139.0
2015-06-01 18:40:18.826,1235292,transaction,4887,1139.0
2015-06-01 18:21:53.691,1236753,transaction,336393,10874.0
2015-06-01 17:07:43.438,1161163,transaction,321712,17496.0
2015-06-01 17:32:03.397,977567,transaction,177773,17306.0
2015-06-01 17:33:54.080,1252850,transaction,277201,16934.0
2015-06-01 16:43:29.579,34648,transaction,281211,11609.0
2015-06-01 23:00:43.887,22090,transaction,205566,14860.0
2015-06-01 22:55:06.504,396761,transaction,36873,17479.0
2015-06-02 01:33:42.979,1020169,transaction,226728,4258.0
