timestamp_x,visitorid,event,itemid,transactionid,timestamp_y,property,value,categoryid,parentid
2015-06-02 05:17:56.276,599528.0,transaction,356475.0,4000.0,1439694000000.0,591.0,1116693,591.0,933.0
2015-06-01 21:18:20.981,121688.0,transaction,15335.0,11117.0,,,,,
2015-06-01 21:25:15.008,552148.0,transaction,81345.0,5444.0,,,,,
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1441508400000.0,790.0,n67080.000,790.0,1492.0
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1437879600000.0,888.0,1265514 1224110 734600 629205,888.0,866.0
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1437274800000.0,790.0,n54000.000,790.0,1492.0
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1439694000000.0,888.0,1265514 1224110 734600 629205,888.0,866.0
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1440298800000.0,790.0,n65160.000,790.0,1492.0
2015-06-01 16:38:56.375,102019.0,transaction,150318.0,13556.0,1440903600000.0,888.0,1265514 1224110 734600 629205,888.0,866.0
2015-06-01 16:01:58.180,189384.0,transaction,310791.0,7244.0,1433041200000.0,28.0,150169 585636 30603 752414,28.0,1604.0
2015-06-01 16:01:58.180,189384.0,transaction,310791.0,7244.0,1433646000000.0,6.0,1263557 810521,6.0,933.0
2015-06-01 18:44:21.340,350566.0,transaction,54058.0,8796.0,,,,,
2015-06-01 18:44:21.371,350566.0,transaction,284871.0,8796.0,1432436400000.0,142.0,769062,142.0,9.0
2015-06-01 18:19:32.710,404403.0,transaction,150100.0,5216.0,1432436400000.0,978.0,17670,978.0,747.0
2015-06-01 18:19:32.710,404403.0,transaction,150100.0,5216.0,1434250800000.0,978.0,17670,978.0,747.0
2015-06-01 18:19:32.710,404403.0,transaction,150100.0,5216.0,1436670000000.0,978.0,17670,978.0,747.0
2015-06-01 18:19:32.710,404403.0,transaction,150100.0,5216.0,1433646000000.0,765.0,769062,765.0,1229.0
2015-06-01 13:11:15.232,505565.0,transaction,243566.0,11713.0,1431226800000.0,112.0,679677,112.0,381.0
2015-06-01 13:11:15.232,505565.0,transaction,243566.0,11713.0,1442113200000.0,591.0,1116693,591.0,933.0
2015-06-01 13:11:15.232,505565.0,transaction,243566.0,11713.0,1432436400000.0,1036.0,616467,1036.0,1420.0
2015-06-01 13:11:15.232,505565.0,transaction,243566.0,11713.0,1432436400000.0,917.0,224118,917.0,1374.0
2015-06-01 13:11:15.232,505565.0,transaction,243566.0,11713.0,1431831600000.0,678.0,212349,678.0,250.0
